Test_ID, Test_fscore, Test_acc
res2016-06-01, 0.817347701928, 0.88288

res_4-4-2025_22:2, 0.5236395857227959, 0.65536
res_4-4-2025_22:17, 0.5285959900897055, 0.65312
res_4-9-2025_10:54, 0.5429903438739315, 0.6696
